ESTADO,SCORE_ADVANCE,EXPERIENCIA_SF,BGI60_12,NUMCUENTASINBB,ANTIGUEDADMAXIMAPASIVOS,MAXIMAANTIGUEDADCTASABIERTAS,NUMSUSCRIPTORSECTORFINAN,MAXIATRASOU12MSECREAL,MAXANTIGCARTERASCERRADASU12M,MINIMAANTIGUEDADCTASCERRADAS,ANTIGUEDADMAXIMACREDITO,CONTMORA30SECREALU12M,VLR_COUTA_DATACREDITO,PORCENTAJEDECUENTASALDIA,VTAR_PROMEDIOLIMITES,VREAL_SUMASALDOACTUAL,VPRO_ENDSISTEMASINBB
b'APROBADO',680.0,b'Cliente Con Experiencia',0.0,4.0,93.0,112.0,2.0,0.0,15.0,3.0,112.0,0.0,842000.0,100.0,1500000.0,0.0,8124000.0
b'APROBADO',671.0,b'Cliente Sin Experiencia',1.0,0.0,18.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,,100.0,0.0,0.0,-999.0
b'APROBADO',771.0,b'Cliente Sin Experiencia',0.0,3.0,33.0,-999.0,-999.0,0.0,-999.0,-999.0,13.0,0.0,109000.0,100.0,0.0,68000.0,0.0
b'APROBADO',607.0,b'Cliente Con Experiencia',0.0,13.0,66.0,22.0,5.0,0.0,-999.0,-999.0,22.0,0.0,1737000.0,100.0,2514000.0,488000.0,14042200.0
b'APROBADO',703.0,b'Cliente Con Experiencia',0.0,5.0,51.0,19.0,1.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,100.0,0.0,0.0,-999.0
b'APROBADO',683.0,b'Cliente Sin Experiencia',1.0,3.0,34.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,125000.0,100.0,0.0,0.0,-999.0
b'APROBADO',716.0,b'Cliente Con Experiencia',0.0,4.0,31.0,12.0,1.0,0.0,-999.0,-999.0,12.0,0.0,849000.0,100.0,0.0,28829000.0,3984000.0
b'APROBADO',803.0,b'Cliente Con Experiencia',0.0,18.0,61.0,4.0,2.0,0.0,14.0,9.0,47.0,0.0,1048000.0,100.0,0.0,99000.0,2331000.0
b'APROBADO',689.0,b'Cliente Sin Experiencia',0.0,3.0,41.0,-999.0,-999.0,0.0,-999.0,-999.0,20.0,0.0,120000.0,100.0,0.0,359000.0,0.0
b'APROBADO',602.0,b'Cliente Sin Experiencia',0.0,4.0,18.0,7.0,1.0,-999.0,-999.0,-999.0,7.0,-999.0,0.0,100.0,1700000.0,-999.0,1576800.0
b'APROBADO',608.0,b'Cliente Sin Experiencia',0.0,9.0,20.0,7.0,1.0,0.0,-999.0,-999.0,7.0,0.0,0.0,100.0,100000.0,1577000.0,20000.0
b'APROBADO',748.0,b'Cliente Con Experiencia',1.0,8.0,39.0,21.0,2.0,0.0,-999.0,-999.0,21.0,0.0,935000.0,100.0,100000.0,43420000.0,2100000.0
b'APROBADO',627.0,b'Cliente Con Experiencia',0.0,3.0,22.0,16.0,4.0,0.0,-999.0,-999.0,16.0,0.0,1071000.0,100.0,1358000.0,0.0,11891600.0
b'APROBADO',639.0,b'Cliente Con Experiencia',0.0,5.0,55.0,20.0,2.0,0.0,4.0,12.0,20.0,0.0,4232000.0,100.0,4849000.0,4425000.0,85741600.0
b'APROBADO',780.0,b'Cliente Con Experiencia',0.0,5.0,40.0,-999.0,1.0,-999.0,16.0,0.0,5.0,-999.0,248000.0,100.0,0.0,-999.0,6730000.0
b'APROBADO',703.0,b'Cliente Sin Experiencia',0.0,12.0,21.0,7.0,1.0,0.0,-999.0,-999.0,-999.0,0.0,37000.0,100.0,0.0,26000.0,-999.0
b'APROBADO',666.0,b'Cliente Sin Experiencia',0.0,4.0,38.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,,100.0,0.0,0.0,-999.0
b'APROBADO',658.0,b'Cliente Sin Experiencia',0.0,4.0,34.0,9.0,1.0,-999.0,-999.0,-999.0,9.0,-999.0,88000.0,100.0,0.0,-999.0,720000.0
b'APROBADO',774.0,b'Cliente Con Experiencia',1.0,3.0,48.0,24.0,1.0,0.0,-999.0,-999.0,24.0,0.0,216000.0,100.0,1000000.0,0.0,487200.0
b'APROBADO',661.0,b'Cliente Sin Experiencia',0.0,11.0,36.0,5.0,1.0,0.0,-999.0,-999.0,5.0,0.0,167000.0,100.0,0.0,0.0,2589000.0
b'APROBADO',735.0,b'Cliente Sin Experiencia',0.0,6.0,41.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,233000.0,100.0,0.0,0.0,-999.0
b'APROBADO',721.0,b'Cliente Sin Experiencia',0.0,1.0,53.0,-999.0,-999.0,0.0,-999.0,21.0,46.0,0.0,23000.0,100.0,0.0,0.0,0.0
b'APROBADO',664.0,b'Cliente Sin Experiencia',0.0,2.0,19.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,,100.0,0.0,0.0,-999.0
b'APROBADO',748.0,b'Cliente Sin Experiencia',1.0,3.0,38.0,-999.0,-999.0,0.0,2.0,4.0,43.0,0.0,,100.0,0.0,0.0,0.0
b'APROBADO',789.0,b'Cliente Sin Experiencia',1.0,3.0,27.0,8.0,1.0,0.0,-999.0,-999.0,8.0,0.0,288000.0,100.0,1000000.0,506000.0,342400.0
